id,query_id,query_en,query_type,ground_truth_contexts (gcs link),expected_answer,difficulty,notes_id,notes_en
Q-001,Aluna jatuh dari kuda,Aluna fall from horse,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%201%20dan%202%20-%20Gara%20Gara%20Bantuan%20Aluna%2C%20Galaxy%20Malah%20Dapat%20Sial.mp4,Episode 1&2 - around 00:54,Easy,result in rank 2,
Q-002,Aluna injak jam tangan,Aluna step on watch,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%201%20dan%202%20-%20Gara%20Gara%20Bantuan%20Aluna%2C%20Galaxy%20Malah%20Dapat%20Sial.mp4,Episode 1&2 - around 03:45,Medium,not shown at all,not shown at all
Q-003,Galaxy naik mobil sport,Galaxy ride a sports car,Soap opera,"https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%203%20-%20Cinta%20Segitiga!%20Aluna%20%26%20Felicia%20Sama-Sama%20Naksir%20Ezra.mp4 
https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%203%20-%20Salting%20Abis!!%20Galaxy%20Puji%20Aluna%20Cantik.mp4 ","Episode 3A - around 01:35
Episode 3B - around 05:05",Easy,,result in rank 2
Q-004,Aluna bertemu ayahnya,Aluna meet her father,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20BAPER!!!%20Galaxy%20Tenangkan%20Aluna%20Yang%20Bersedih.mp4,Episode 4&5A - around 00:25,Easy,rank 2,
Q-005,Ibu Aluna marah ke suaminya,Aluna's mother mad at her husband,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20BAPER!!!%20Galaxy%20Tenangkan%20Aluna%20Yang%20Bersedih.mp4,Episode 4&5A - around 01:33,Easy,rank 2,rank 2
Q-006,Galaxy menjemput Aluna pakai motor,Galaxy fetches Aluna with motorbike,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%204%20dan%205%20-%20Ihiy!%20Galaxy%20Ngarep%20Pacaran%20Sama%20Aluna.mp4,Episode 4&5B - around 00:20,Easy,rank 2,rank 2
Q-007,Aluna curiga Galaxy bukan tukang kuda,Aluna suspects that Galaxy is not a horse groom,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20ADUH!!%20Aluna%20Mulai%20Curiga%20Kalau%20Axy%20Bukan%20Tukang%20Kuda.mp4,Episode 6A - around 02:00,Medium,not shown at all,not shown at all
Q-008,Robby menjewer telinga Galaxy,Robby pulls Galaxy's ear,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20ADUH!!%20Aluna%20Mulai%20Curiga%20Kalau%20Axy%20Bukan%20Tukang%20Kuda.mp4,Episode 6A - around 05:54,Easy,rank 4,rank 3
Q-009,Pak Omar ketahuan selingkuh oleh istrinya,Mr. Omar was caught cheating by his wife,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20Ngakak!%20Ezra%20Ketahuan%20Lagi%20Fotoin%20Feli.mp4,Episode 6B - around 00:35,Medium,rank 4,rank 4
Q-010,Ezra mengambil foto Felicia,Ezra taking photo of Felicia,Soap opera,https://storage.googleapis.com/kentandrian-media-search_hi-res/Cinta%20Sedalam%20Rindu%20Episode%206%20-%20Ngakak!%20Ezra%20Ketahuan%20Lagi%20Fotoin%20Feli.mp4,Episode 6B - around 06:10,Easy,,
Q-011,Lukman Hakim berpidato,Lukman Hakim speech,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20KontraS%203%20Orang%20Hilang%20Usai%20Demo%20Agustus%2C%20Presiden%20Setuju%20Bentuk%20Tim%20Investigasi.mp4,KontraS 3 Orang - around 01:59,Easy,,
Q-012,Pemilik rumah menjelaskan pembatas rumah ke polisi,The homeowner explains the house's perimeter to the police.,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Tim%20Gegana%20Brimob%20Turun%20Tangan%20Usut%20Ledakan%20Misterius%20di%20Tangsel%2C%20Ada%20Indikasi%20Bom.mp4,Tim Gegana Brimob - around 01:05,Easy,,
Q-013,Polisi membakar tanaman ganja,Police burn marijuana plants,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Ladang%20Ganja%20Seluas%20Dua%20Hektar%20Dimusnahkan%20BNN%20di%20Kabupaten%20Aceh%20Besar%2C%20Aceh.mp4,Ladang Ganja Seluas - around 00:35,Easy,,
Q-014,Riki Kurniawan sedang diwawancarai,Riki Kurniawan being interviewed,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Ladang%20Ganja%20Seluas%20Dua%20Hektar%20Dimusnahkan%20BNN%20di%20Kabupaten%20Aceh%20Besar%2C%20Aceh.mp4,Ladang Ganja Seluas - around 01:30,Easy,,
Q-015,Enggar Bagus memasuki rumah,Enggar Bagus enters the house,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Lebih%2010%20Jam%2C%20Penyebab%20Ledakan%20Misterius%20di%20Tangsel%20Belum%20Terungkap%2C%20Ini%20Penelusurannya.mp4,Lebih 10 Jam Penyebab - around 00:31,Easy,,rank 2
Q-016,Nomor rumah terjadinya ledakan di Tangerang,House number where the explosion occurred in Tangerang,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Lebih%2010%20Jam%2C%20Penyebab%20Ledakan%20Misterius%20di%20Tangsel%20Belum%20Terungkap%2C%20Ini%20Penelusurannya.mp4,Lebih 10 Jam Penyebab - around 01:54,Medium,related sequence is not shown,related sequence is not shown
Q-017,Trump tidak khawatir dengan keamanannya,Trump is not worried of his own safety,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Penembak%20Influencer%20Pendukung%20Trump%20Saat%20Pidato%20Masih%20Misterius.mp4,Penembak Influencer Pendukung - around 00:19 or 00:41,Easy,,
Q-018,Trump ditanya apakah pembunuh itu adalah pembunuh bayaran,Trump was asked whether the killer was a hitman,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20Penembak%20Influencer%20Pendukung%20Trump%20Saat%20Pidato%20Masih%20Misterius.mp4,Penembak Influencer Pendukung - around 01:49,Easy,,
Q-019,Wajah Bongbong Marcos di spanduk,Bongbong Marcos' face on the banner,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20%20Demo%20Mahasiswa%20Filipina%20Memprotes%20Pemerintahan%20Presiden%20Marcos%20Jr%20dan%20Pemberantasan%20Korupsi.mp4,Demo Mahasiswa Filipina - around 00:34,Easy,rank 3,rank 3
Q-020,Seseorang turun dari dinding gedung,Someone climbed down from the wall of the building,News,https://storage.googleapis.com/kentandrian-media-search_hi-res/Liputan%206%20-%20FBI%20Rilis%20Rekaman%20CCTV%20Pelaku%20Penembakan%20Charlie%20Kirk%2C%20Buang%20Senpi%20di%20Hutan.mp4,FBI Rilis Rekaman CCTV - around 00:26,Easy,"rank 2, but rank 1 is soap opera",rank 4
Q-021,Bruno Persebaya mendapat kartu merah,Bruno Persebaya got a red card,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persebaya%20Surabaya%20VS%20Arema%20FC%20_%20Pekan%2013.mp4,Persebaya vs Arema - around 05:08,Easy,,
Q-022,Damjanović gol bunuh diri,Damjanović own goal,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persebaya%20Surabaya%20VS%20Arema%20FC%20_%20Pekan%2013.mp4,Persebaya vs Arema - around 02:51,Medium,"but player name is incorrect, should be Slavko Damjanovic instead of Dusan Stevanovic","but player name is incorrect, should be Slavko Damjanovic instead of Dusan Stevanovic"
Q-023,Ricky Kambuaya mendapat kartu merah,Ricky Kambuaya got a red card,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Malut%20United%20FC%20vs%20Dewa%20United%20FC%20_%20Pekan%2013.mp4,Malut United vs Dewa United - around 05:35,Easy,,
Q-024,PSM Makassar gol pertama,PSM Makassar first goal,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Bali%20United%20FC%20VS%20PSM%20Makassar%20_%20Pekan%2013.mp4,Bali United vs PSM - around 04:15,Medium,,
Q-025,Bali vs PSM - Hakim garis mengangkat bendera offside ,Bali vs PSM - Linesman raises the offside flag,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Bali%20United%20FC%20VS%20PSM%20Makassar%20_%20Pekan%2013.mp4,Bali United vs PSM - around 07:13,Medium,rank 2,rank 2
Q-026,Gol pertama Semen Padang FC melawan Madura United,Semen Padang FC's first goal against Madura United,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Madura%20United%20FC%20VS%20Semen%20Padang%20FC%20_%20Pekan%2014.mp4,Madura United vs Semen Padang - around 05:49,Medium,,
Q-027,Gustavo mencetak gol pertama untuk Persija,Gustavo scored the first goal for Persija,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persija%20Jakarta%20VS%20Borneo%20FC%20Samarinda%20_%20Pekan%2014.mp4,Persija vs Borneo FC - around 05:48,Medium,rank 3,rank 3
Q-028,Habibi Jusuf (Borneo FC) mencetak gol di detik terakhir,Habibi Jusuf (Borneo FC) scored a goal in the last seconds,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persija%20Jakarta%20VS%20Borneo%20FC%20Samarinda%20_%20Pekan%2014.mp4,Persija vs Borneo FC - around 08:08,Medium,,
Q-029,Marios Ogkmpoe mencetak gol pertama untuk Persita Tangerang,Marios Ogkmpoe first goal for Persita Tangerang,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persita%20Tangerang%20VS%20Persis%20Solo%20_%20Pekan%2013.mp4,Persita vs Persis - around 02:04,Medium,,
Q-030,Tendangan penalti Ahmad Hardianto,Penalty kick of Ahmad Hardianto,Sports,https://storage.googleapis.com/kentandrian-media-search_hi-res/Highlight%20_%20Persita%20Tangerang%20VS%20Persis%20Solo%20_%20Pekan%2013.mp4,Persita vs Persis - around 06:40,Easy,,